"Name","abb","book","aggressions","paragraphs","mentions","agg.per.mention","mentions.per.p","agg.weighted"
"Fred Weasley","fred","The Chamber of Secrets",0,3373,98,0,0.0290542543729618,0
"George Weasley","geor","The Chamber of Secrets",0,3373,87,0,0.0257930625555885,0
"Arthur Weasley","arth","The Chamber of Secrets",1,3373,18,0.0555555555555556,0.00533649570115624,187.388888888889
"Rubeus Hagrid","hagr","The Chamber of Secrets",1,3373,136,0.00735294117647059,0.0403201897420694,24.8014705882353
"Gilderoy Lockhart","lock","The Chamber of Secrets",3,3373,212,0.0141509433962264,0.0628520604802846,47.7311320754717
"Ernie MacMillion","erni","The Chamber of Secrets",0,3373,26,0,0.00770827156833679,0
"Fawkes","","The Chamber of Secrets",3,3373,27,0.111111111111111,0.00800474355173436,374.777777777778
"Cho Chang","choc","The Chamber of Secrets",0,3373,146,0,0.0432849095760451,0
"Dean Thomas","dean","The Chamber of Secrets",0,3373,15,0,0.00444707975096353,0
"Peeves","peev","The Chamber of Secrets",0,3373,22,0,0.00652238363474652,0
"Percy Weasley","perc","The Chamber of Secrets",0,3373,68,0,0.0201600948710347,0
"Seamus Finnagin","seam","The Chamber of Secrets",0,3373,17,0,0.00504002371775867,0
"Colin Creevey","coli","The Chamber of Secrets",0,3373,42,0,0.0124518233026979,0
"Greggory Goyle","goyl","The Chamber of Secrets",0,3373,33,0,0.00978357545211977,0
"Justin Finch-Fletchley","just","The Chamber of Secrets",0,3373,37,0,0.0109694633857101,0
"Madam Pince","pinc","The Chamber of Secrets",0,3373,15,0,0.00444707975096353,0
"Harry","harr","The Prisoner of Azkaban",26,4092,1662,0.0156438026474128,0.406158357771261,64.014440433213
"Hermione Granger","herm","The Prisoner of Azkaban",4,4092,601,0.00665557404326123,0.146871945259042,27.234608985025
"Voldemort","vold","The Prisoner of Azkaban",0,4092,40,0,0.00977517106549365,0
"Ron Wealsey","ronw","The Prisoner of Azkaban",2,4092,866,0.0023094688221709,0.211632453567937,9.45034642032333
"Severus Snape","snap","The Prisoner of Azkaban",1,4092,234,0.00427350427350427,0.0571847507331378,17.4871794871795
"Albus Dumbledore","albu","The Prisoner of Azkaban",1,4092,143,0.00699300699300699,0.0349462365591398,28.6153846153846
"Boggart","bogg","The Prisoner of Azkaban",13,4092,35,0.371428571428571,0.00855327468230694,1519.88571428571
"Neville Longbottom","nevi","The Prisoner of Azkaban",2,4092,94,0.0212765957446809,0.0229716520039101,87.063829787234
"Dementors","deme","The Prisoner of Azkaban",6,4092,129,0.0465116279069767,0.031524926686217,190.325581395349
"Remus Lupin","remu","The Prisoner of Azkaban",7,4092,385,0.0181818181818182,0.0940860215053763,74.4
